TABELA DE HUFFMAN

 -> 01010100001001
  -> 101
! -> 0101011111
. -> 1110001
/ -> 0101011110
3 -> 0101010010
< -> 010101100
> -> 010101101
? -> 1110010100
A -> 010101110
C -> 01010100001000
D -> 0101010000001
E -> 01010101
H -> 010101000011
I -> 11100101010
L -> 0101010000000
N -> 11100101011
Q -> 111001011
R -> 0101010000101
S -> 0101010001
U -> 0101010011
V -> 010101000001
a -> 1001
b -> 1110000
c -> 01001
d -> 10000
e -> 001
f -> 11100110
g -> 11100100
h -> 111001111
i -> 000
l -> 10001
m -> 11111
n -> 11101
o -> 0110
p -> 01011
q -> 01000
r -> 11110
s -> 0111
t -> 1101
u -> 1100
v -> 010100
x -> 111001110
