TABELA DE HUFFMAN
	 -> 10000111000000101110

 -> 1000010
  -> 00
! -> 011100110111
# -> 1100111100001110
' -> 10000111000000100
( -> 10000111000010
) -> 10000111000001
, -> 110000
- -> 110011101
. -> 11111111
0 -> 11001111010
1 -> 10000000
2 -> 110011100
3 -> 1111110011
4 -> 1011011101
5 -> 0111001111
6 -> 0111001100
7 -> 11111100101
8 -> 11111100100
9 -> 11111100001
: -> 101101000
; -> 10110101
? -> 11111101100
A -> 100000010
B -> 10000111001
C -> 11001111011
D -> 100000011
E -> 111111010
F -> 111111000110
G -> 101101111100
H -> 111111000001
I -> 1011010011
J -> 1111110111
L -> 110011110001
M -> 1011011100
N -> 11111101101
O -> 1011010010
P -> 1011011110
Q -> 01110011100
R -> 01110011101
S -> 01110001
T -> 11111100010
U -> 1011011111011
V -> 100001110001
X -> 10000111000011111
Z -> 011100110110
^ -> 100001110000001010111
_ -> 100001110000001010110
a -> 1110
b -> 0111010
c -> 110001
d -> 10111
e -> 010
f -> 1000001
g -> 11111110
h -> 1111100
i -> 11110
j -> 100001111
l -> 110010
m -> 10001
n -> 10010
o -> 1101
p -> 101100
q -> 1100110
r -> 0110
s -> 1010
t -> 01111
u -> 10011
v -> 1111101
w -> 100001110000001011111
x -> 1000011101
z -> 01110010
À -> 10000111000000110
Á -> 1000011100001110
Â -> 100001110000001011110
Ã -> 10000111000000111
Ç -> 1000011100000010110
É -> 11001111000010
Ê -> 1100111100001111
Í -> 100001110000110
Ó -> 110011110000110
Ô -> 100001110000000
Õ -> 1000011100000010100
Ú -> 10000111000011110
à -> 11001111001
á -> 10110110
â -> 1100111100000
ã -> 0111011
ç -> 110011111
é -> 10000110
ê -> 10110111111
í -> 011100001
î -> 10000111000000101010
ó -> 011100000
ô -> 111111000000
õ -> 01110011010
ú -> 111111000111
ü -> 1011011111010
